trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,finetune_layers,val_accuracy
82,0.00018745089366290721,0.46370280795892643,64,32,6.283185461176487e-05,,0.5074626865671642
83,0.0003003345680951509,0.13768114470279863,256,32,3.780683863235373e-05,,0.7388059701492538
84,0.0007025479569511951,0.1302137031387124,256,16,8.287554230313645e-05,,0.8283582089552238
85,0.00036379595876381463,0.1690737454215009,256,16,0.00011855001773478603,,0.7910447761194029
86,0.0005010853179970149,0.11327882238379186,128,16,0.00030879825815402484,,0.7835820895522388
87,0.00042504635258595305,0.14508776068233806,64,32,5.26871632819738e-05,,0.7388059701492538
88,0.0006047401835778716,0.15702591174568986,256,16,0.00021075905896892342,,0.7985074626865671
89,0.0005508334166344712,0.335911664693456,256,64,0.00010200021171383047,,0.664179104477612
90,6.388315885484184e-05,0.12232409042640878,256,16,1.3344519585013501e-05,,0.5373134328358209
91,0.0009670828675660271,0.10858704913227316,256,16,2.2912999980437706e-06,,0.8283582089552238
92,0.0007832338778298835,0.13259190739947627,256,16,2.1999855579449797e-05,,0.7910447761194029
93,0.0006955894915468086,0.2057050808841557,256,16,1.3192032995045905e-06,,0.8731343283582089
94,0.0006768130169287337,0.2063284141177451,256,16,1.0696576227462393e-06,,0.8582089552238806
95,8.291355671434235e-05,0.14412762195807272,256,16,2.0494079312358757e-06,,0.5149253731343284
96,0.00046980745551993615,0.1607346987076907,256,16,1.3439153862942237e-06,,0.8507462686567164
97,0.0008225581126952065,0.10041686456512688,64,16,1.3766053422505235e-06,,0.8283582089552238
98,0.00033298203815095587,0.12390454357761853,256,32,0.00017686885916091714,,0.746268656716418
99,0.00012658499532912352,0.17160557002749346,256,16,0.00013202747941361317,,0.6044776119402985
