trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,finetune_layers,val_accuracy
42,0.00019321429978461294,0.12829640438815687,256,16,0.000132277953643175,2,0.11194030195474625
43,0.00018997649195104228,0.14889026792482737,256,16,9.503112360997336e-05,2,0.2985074520111084
44,0.00011395679912358469,0.11281929765288856,256,16,0.0002846154812664459,2,0.46268656849861145
45,0.0002741820196921079,0.1718254008028844,256,16,0.00015669295590401441,2,0.7985074520111084
46,6.602140125510103e-05,0.11955053194446721,256,16,6.0824250611578655e-05,2,0.447761207818985
47,0.00013784894821129216,0.3521460960711305,64,16,1.123878688177679e-05,4,0.49253731966018677
48,9.644415008086092e-05,0.419669780364586,256,32,0.0001807907226719917,6,0.41791045665740967
49,4.0123878036860614e-05,0.10097862287836115,128,64,0.00011064309545312924,2,0.09701492637395859
50,2.1124334509018778e-05,0.19909901947637837,256,16,2.5203713819573643e-05,6,0.2537313401699066
51,0.0002933271348043739,0.1706891189938322,256,16,0.00015161209764352442,2,0.5820895433425903
52,0.0002655014702772882,0.1404224779391148,256,16,0.00040133817126841156,2,0.4776119291782379
53,0.00039668506322069195,0.15709570658453828,256,16,0.00022123011785399403,2,0.5373134613037109
54,0.00017785660278633075,0.17711792832884848,256,16,0.00017137802108295165,2,0.5746268630027771
55,0.00023969407564476092,0.31598384124622886,256,16,0.0006132759579726486,2,0.7388059496879578
56,0.0008320247680600168,0.2899711298418497,64,16,7.745121459910479e-05,6,0.02985074557363987
57,0.00011287589980357467,0.19029836702632827,256,16,1.5536657777466232e-05,6,0.48507463932037354
58,0.0001750896130641412,0.135345561154906,256,16,5.447432186370542e-06,2,0.8134328126907349
59,7.73424434939948e-05,0.11444886962063965,256,32,4.15514049205266e-06,6,0.3805970251560211
60,1.3986694444890923e-05,0.1378930279196974,256,16,7.766855549235474e-06,6,0.11194030195474625
61,0.00017131975175993421,0.16174477008460214,256,16,3.305966931599738e-06,2,0.41791045665740967
62,0.00013516056116195873,0.2095347747513598,256,16,2.123246553983713e-06,2,0.5671641826629639
63,9.635128006183837e-05,0.23563151613450967,256,16,5.591879072400367e-06,2,0.6641790866851807
64,0.00016327400956581476,0.1305470259767198,256,16,0.0002716927433191843,2,0.6716417670249939
65,0.00021073574534620065,0.1016965811840011,256,16,4.3613164178334736e-05,2,0.6641790866851807
66,0.0003786576790077288,0.14833138985334396,64,16,6.865805844837665e-05,4,0.13432836532592773
67,5.38839892420644e-05,0.2803129062246461,256,16,0.00011988300960983238,6,0.48507463932037354
68,0.00012636810757838703,0.3035802746849868,128,64,5.696353979841368e-06,6,0.4776119291782379
69,0.00010930624029758169,0.2552721812881147,256,32,3.4529730816934226e-05,2,0.44029849767684937
70,0.00028848356486175163,0.17413993876830292,256,16,5.4877971543446885e-05,6,0.09701492637395859
71,0.00014132149473777996,0.11549081218904689,256,16,0.0002167722360198709,2,0.5820895433425903
72,0.00024511541206224746,0.13730676254095425,256,16,0.00018884781341686616,2,0.5970149040222168
73,7.259722982161062e-05,0.12530484352425128,256,16,0.0003278670665641679,2,0.4552238881587982
74,0.00020876659286791726,0.11127848109823306,256,16,0.00014118806019604798,2,0.7985074520111084
75,8.994406692234747e-05,0.16367491019900224,256,16,9.68052101418991e-05,2,0.8208954930305481
76,8.371051205487197e-05,0.1635940328461079,256,16,0.0001104608542500597,6,0.611940324306488
77,6.237872920643905e-05,0.15011935845943777,256,16,7.60345909011748e-05,4,0.447761207818985
78,4.748972021314562e-05,0.18452703762557238,256,16,2.2788034072413137e-05,6,0.5074626803398132
79,9.901677179464123e-05,0.1930270721785224,64,16,1.5297911874307858e-06,2,0.48507463932037354
80,0.00012170749098109945,0.23032229475221305,128,64,9.113463582589074e-06,6,0.1492537260055542
81,0.00018825103444966804,0.11139261420254319,256,16,0.0001593049601647407,2,0.5895522236824036
82,0.00015747871529774637,0.12929779669655472,256,16,0.00013707427947322204,2,0.4029850661754608
83,0.00032452328344418166,0.14554625997723314,256,16,9.01082931580757e-05,2,0.5820895433425903
84,0.00020149068652810284,0.20434691191756374,256,16,0.00010288267312984868,2,0.41791045665740967
85,8.654496212238421e-05,0.1593951478350102,256,16,1.3198232694668585e-05,2,0.41791045665740967
86,0.0002602286482023701,0.33331077855395286,256,16,5.594963725440767e-06,2,0.49253731966018677
87,0.0001456627186402851,0.12059385521899811,256,16,0.00014441444226287545,6,0.305970162153244
88,0.00012694917129575398,0.40437214333751204,256,32,0.00024369096587187406,2,0.305970162153244
89,0.00022249971109447315,0.16976025663492594,256,16,0.0001904721172811975,6,0.38805970549583435
90,0.0004994107654599016,0.21663957871642978,256,16,5.456587543128949e-05,4,0.33582088351249695
91,0.00017221637010224274,0.10385367414271256,256,16,0.0003097268171661183,2,0.5970149040222168
92,0.00010776028897413848,0.13818862734887805,256,16,0.00041196678555906614,2,0.28358209133148193
93,2.4498470260588057e-05,0.49716423958691097,256,16,0.00020364905491398284,2,0.3731343150138855
94,0.0001471779364814766,0.13149068423429436,256,16,8.486587154355419e-05,2,0.5
95,6.68932357910787e-05,0.1111991438543462,256,16,0.00012314627447391086,2,0.2014925330877304
96,2.9017477629621184e-05,0.2696467756948014,256,16,0.00016540543803617578,6,0.5522388219833374
