trial_number,lr,dropout_rate,dense_units,batch_size,l2_reg,unfreeze_from_layer,val_accuracy
48,0.0004555924514309817,0.42377565102381587,256,16,0.0004585307716563723,2,0.7014925373134329
49,0.00026697866609941056,0.31556518944879824,128,64,3.767410798738562e-05,4,0.6044776119402985
50,0.00034629430774192453,0.2383633260146016,256,16,0.00025848582090656324,2,0.753731343283582
51,0.0005448231014550654,0.41446909371313473,256,16,8.409174451516521e-05,2,0.6343283582089553
52,0.0006567479819868507,0.3901668850362487,256,16,0.0001964966417586718,2,0.6194029850746269
53,0.000435513038004595,0.4606065712606049,256,16,0.0003253113545734014,2,0.6940298507462687
54,0.00035821727457839824,0.3524821803167509,256,64,0.0001163735393603505,2,0.6417910447761194
55,0.0009390457623022953,0.4274202047469966,128,16,1.0865046188175176e-06,2,0.6119402985074627
56,0.0007975425010401815,0.36743895014266836,64,64,4.963050800459717e-05,3,0.5895522388059702
57,0.00021858688244935634,0.46818316546322214,128,16,2.0407119853752973e-05,2,0.6567164179104478
58,0.00018495741328234397,0.1907689991389227,256,64,0.00015049697866214304,4,0.7611940298507462
59,0.00030285677130014973,0.26590422982331,128,16,7.318524919686606e-05,2,0.7238805970149254
60,0.0006039279410536729,0.4012158529669802,256,32,0.0004305165252778776,2,0.7089552238805971
61,0.00013770902908888526,0.2491771858494093,128,16,6.173438381836148e-05,2,0.753731343283582
62,8.649030571594656e-05,0.2344146561616326,128,16,9.842255947852277e-05,2,0.5970149253731343
63,0.00015801343961227297,0.20331478781077356,128,16,0.00017741736959920711,2,0.7089552238805971
64,9.932115410112104e-05,0.22264272533229773,128,16,0.0002317201483012793,2,0.7164179104477612
65,0.0002376052489539233,0.2962966835954754,128,64,5.220377907865982e-05,4,0.6567164179104478
66,0.0005012385286077677,0.4319333712956873,256,16,6.942499818407095e-05,2,0.6940298507462687
67,0.0004002187699553742,0.1638284509295071,128,16,3.0857399144482094e-05,2,0.7313432835820896
68,1.3918426282011436e-05,0.38090184223664786,64,64,0.00010464566933671192,3,0.39552238805970147
69,0.0003306462683294769,0.41522639462124833,256,16,0.0008176478341175686,2,0.7388059701492538
70,2.742268725771878e-05,0.27755268650977283,128,64,0.0005420837034996924,4,0.40298507462686567
71,0.00019174458294743572,0.1843591436539593,256,64,0.00015004109705036146,4,0.6268656716417911
72,0.00017197657108089444,0.22294026852931922,256,64,0.00015349622140125454,4,0.6567164179104478
73,0.00014211199441247142,0.19874827650505836,256,64,0.0002922023585617953,4,0.6268656716417911
74,0.0002066795480205561,0.15746819940207735,256,64,8.962598081578064e-05,4,0.7164179104477612
75,0.0002493707736460518,0.17771302730035465,256,64,0.000124130808496422,4,0.7164179104477612
